Date & Time,Amount Outgoing (Yen),Amount Incoming (Yen),Amount Outgoing Overseas,Currency,Exchange Rate (Yen),Country Paid In,Transaction Type,Business Name,Method,Payment Option,User,Transaction ID
2025/10/30 00:43:20,-,4,-,-,-,-,"Points, Balance Earned",ＥＴＣカード売上,PayPay Point,-,-,PPCD_C_202510290700003139794449
2025/10/30 00:43:02,-,28,-,-,-,-,"Points, Balance Earned",ＥＴＣカード売上,PayPay Point,-,-,PPCD_C_202510290700003139794447
2025/10/30 00:40:03,-,20,-,-,-,-,"Points, Balance Earned",ＥＴＣカード売上,PayPay Point,-,-,PPCD_C_202510290700003139794448
2025/10/30 00:39:51,-,4,-,-,-,-,"Points, Balance Earned",ＥＴＣカード売上,PayPay Point,-,-,PPCD_C_202510290700003139794450
2025/10/30 00:38:05,-,4,-,-,-,-,"Points, Balance Earned",ＥＴＣカード売上,PayPay Point,-,-,PPCD_C_202510290700003139794451
2025/10/30 00:37:37,-,12,-,-,-,-,"Points, Balance Earned",ＥＴＣカード売上,PayPay Point,-,-,PPCD_C_202510290700003139794446
2025/10/29 22:58:20,-,100,-,-,-,-,"Points, Balance Earned",モバイルＰＡＳＭＯチャージ,PayPay Point,-,-,PPCD_A_2025102308114800178434
2025/10/29 22:51:14,-,60,-,-,-,-,"Points, Balance Earned",Ｓｕｉｃａ（ＧｏｏｇｌｅＰａｙ）,PayPay Point,-,-,PPCD_A_2025102515370700737011
2025/10/29 20:49:07,"5,310",-,-,-,-,-,Money Sent,Zan,PayPay Balance,-,-,02121488329028026380
2025/10/29 20:49:04,-,"10,000",-,-,-,-,Top-Up,PayPay,スルガ銀行 *****55,-,-,02121488311849115656
2025/10/29 17:10:32,-,88,-,-,-,-,"Points, Balance Earned",ベトナム料理ハイズォンクアン,PayPay Point,-,-,04832523951379668993
2025/10/29 17:10:31,"4,508",-,-,-,-,-,Payment,ベトナム料理ハイズォンクアン - ベトナム料理　ハイズォンクアン,Credit Mastercard 5298,-,-,04832523951379668993
2025/10/29 16:58:04,-,48,-,-,-,-,"Points, Balance Earned",ベトナム物販　ハイズォンクアン,PayPay Point,-,-,04832517526108397571
2025/10/29 16:58:03,"2,536",-,-,-,-,-,Payment,ベトナム物販　ハイズォンクアン - ベトナム物販　ハイズォンクアン,Credit Mastercard 5298,-,-,04832517526108397571
2025/10/29 12:19:48,-,150,-,-,-,-,"Points, Balance Earned",Yahoo!ショッピング,PayPay Point,-,-,lp-102895974642327552-c_242bfe89-a0d0-4a64-ae8c-6e56eff3abcb_sppf
2025/10/29 12:01:26,-,24,-,-,-,-,"Points, Balance Earned",大戸屋ごはん処,PayPay Point,-,-,04832364642452824072
2025/10/29 12:01:26,"1,290",-,-,-,-,-,Payment,大戸屋ごはん処 - 新宿センタービル店,Credit Mastercard 5298,-,-,04832364642452824072
2025/10/29 00:49:33,72,-,-,-,-,-,Invested,PayPayポイント運用,PayPay Point,-,-,04832018365008756738
2025/10/28 19:01:11,-,104,-,-,-,-,"Points, Balance Earned",徳樹庵,PayPay Point,-,-,04831838809606144001
2025/10/28 19:01:10,"5,299",-,-,-,-,-,Payment,徳樹庵 - 下間久里店,Credit Mastercard 5298,-,-,04831838809606144001
2025/10/28 17:07:26,"5,000",-,-,-,-,-,Payment,モバイルＰＡＳＭＯチャージ,PayPay Card Gold Mastercard 5298,One-time Payment,Personal Use,PPCD_A_2025102817072600074630
2025/10/28 16:40:13,196,-,-,-,-,-,Invested,PayPayポイント運用,PayPay Point,-,-,04831766155939856391
2025/10/28 14:28:14,-,92,-,-,-,-,"Points, Balance Earned",オーケー コシガヤオオドマリテン,PayPay Point,-,-,PPCD_A_2025102409591700036894
2025/10/28 12:24:05,-,20,-,-,-,-,"Points, Balance Earned",ハヌリ,PayPay Point,-,-,04831634154414342144
2025/10/28 12:24:05,"1,111",-,-,-,-,-,Payment,ハヌリ - 西新宿店,Credit Mastercard 5298,-,-,04831634154414342144
2025/10/28 09:39:10,-,420,-,-,-,-,"Points, Balance Earned",PayPay資産運用,PayPay Point,-,-,04831549148421513219
2025/10/28 09:39:09,"60,000",-,-,-,-,-,Invested,PayPay Securities,Credit Mastercard 5298,-,-,04831549148421513219
2025/10/28 09:39:08,-,280,-,-,-,-,"Points, Balance Earned",PayPay資産運用,PayPay Point,-,-,04831549139832045571
2025/10/28 09:39:08,"40,000",-,-,-,-,-,Invested,PayPay Securities,Credit Mastercard 5298,-,-,04831549139832045571
2025/10/28 00:58:50,56,-,-,-,-,-,Invested,PayPayポイント運用,PayPay Point,-,-,04831280970663763970
2025/10/28 00:26:58,840,-,-,-,-,-,Invested,PayPayポイント運用,PayPay Point,-,-,04831264546708733954
2025/10/28 00:00:00,100,-,-,-,-,-,Payment,QP/コカコーラジハンキクイ,PayPay Card Gold Mastercard 5298,One-time Payment,Personal Use,PPCD_C_202511020800003161973337
2025/10/27 17:41:19,-,40,-,-,-,-,"Points, Balance Earned",フクシマヤ ロツポンギテン,PayPay Point,-,-,PPCD_A_2025102316002100134801
2025/10/27 14:58:12,"3,014",-,-,-,-,-,Payment,シズラー新宿三井ビル店,PayPay Card Gold Mastercard 5298,One-time Payment,Personal Use,PPCD_A_2025102714581200112443
2025/10/27 11:45:22,980,-,-,-,-,-,Payment,ヤクルト届けてネット（埼玉東部）,PayPay Card Gold Mastercard 5298,One-time Payment,Personal Use,PPCD_A_2025102711452200356419
2025/10/27 03:23:50,136,-,-,-,-,-,Invested,PayPayポイント運用,PayPay Point,-,-,04830613532744278017
2025/10/26 17:34:26,-,8,-,-,-,-,"Points, Balance Earned",ネクスコ東日本SA/PA,PayPay Point,-,-,04830309758297677827
2025/10/26 17:34:25,480,-,-,-,-,-,Payment,ネクスコ東日本SA/PA - 茨城串大将（1154）,Credit Mastercard 5298,-,-,04830309758297677827
2025/10/26 14:54:16,-,16,-,-,-,-,"Points, Balance Earned",ヤクルト届けてネット（埼玉東部）,PayPay Point,-,-,PPCD_A_2025102011451500986831
2025/10/26 14:54:02,-,16,-,-,-,-,"Points, Balance Earned",APPLE COM BILL,PayPay Point,-,-,PPCD_A_2025102308393800241994
2025/10/26 14:49:20,-,8,-,-,-,-,"Points, Balance Earned",松伏交通,PayPay Point,-,-,04830224666405224451
2025/10/26 14:49:20,500,-,-,-,-,-,Payment,松伏交通 - 3413,Credit Mastercard 5298,-,-,04830224666405224451
2025/10/26 14:43:03,-,40,-,-,-,-,"Points, Balance Earned",フクシマヤ ロツポンギテン,PayPay Point,-,-,PPCD_A_2025102215271000031745
2025/10/26 10:20:30,-,7,-,-,-,-,"Points, Balance Earned",PayPayほけん,PayPay Point,-,-,04830086119350919168
2025/10/26 10:20:30,370,-,-,-,-,-,Payment,PayPayほけん,Credit Mastercard 5298,-,-,04830086119350919168
2025/10/26 02:15:22,407,-,-,-,-,-,Invested,PayPayポイント運用,PayPay Point,-,-,04829836074944913410
2025/10/26 00:00:00,"1,840",-,-,-,-,-,Payment,ＥＴＣカード売上,PayPay Card Gold Mastercard 9092,One-time Payment,Personal Use,PPCD_C_202511140700003275252606
2025/10/25 15:37:07,"3,000",-,-,-,-,-,Payment,Ｓｕｉｃａ（ＧｏｏｇｌｅＰａｙ）,PayPay Card Gold Mastercard 5298,One-time Payment,Personal Use,PPCD_A_2025102515370700737011
2025/10/25 15:00:35,-,36,-,-,-,-,"Points, Balance Earned",Ｇｕｚｍａｎ　ｙ　Ｇｏｍｅｚ　赤／ＮＦＣ,PayPay Point,-,-,PPCD_A_2025102111254000242477
2025/10/25 14:55:44,-,20,-,-,-,-,"Points, Balance Earned",フクシマヤ ロツポンギテン,PayPay Point,-,-,PPCD_A_2025102115081500559205
2025/10/25 12:22:59,"1,000",-,-,-,-,-,Payment,ＩＤＡＲＥ,PayPay Card Gold Mastercard 5298,One-time Payment,Personal Use,PPCD_A_2025102512225900404870
2025/10/25 08:42:59,-,250,-,-,-,-,"Points, Balance Earned",Yahoo!フリマ,PayPay Point,-,-,04829293680704749570
2025/10/25 08:42:58,"14,000",-,-,-,-,-,Payment,Yahoo!フリマ,"PayPay Point (2,693yen), Credit Mastercard 5298 (11,307yen)",-,-,04829293680704749570
2025/10/25 02:04:49,-,840,-,-,-,-,"Points, Balance Earned",Yahoo!ショッピング,PayPay Point,-,-,lp-102895974642327552-c_58281610-8969-444f-b1e2-48ec0475b31a_7050733808587819175467512
2025/10/25 01:30:44,108,-,-,-,-,-,Invested,PayPayポイント運用,PayPay Point,-,-,04829070900750983170
2025/10/25 01:24:03,-,161,-,-,-,-,"Points, Balance Earned",Yahoo!ショッピング,PayPay Point,-,-,lp-102895974642327552-c_1c8b7c78-7559-45f3-a8f4-0858e3eb4255_6121326585586817176362747
2025/10/24 13:20:31,-,104,-,-,-,-,"Points, Balance Earned",CINTA JAWA CAFE,PayPay Point,-,-,04828694549946540036
2025/10/24 13:20:31,"5,250",-,-,-,-,-,Payment,CINTA JAWA CAFE - 渋谷店,Credit Mastercard 5298,-,-,04828694549946540036
2025/10/24 09:59:17,"4,712",-,-,-,-,-,Payment,オーケー コシガヤオオドマリテン,PayPay Card Gold Mastercard 5298,One-time Payment,Personal Use,PPCD_A_2025102409591700036894
2025/10/24 09:06:34,"500,000",-,-,-,-,-,Bank Transfer,PayPay銀行 *****87,PayPay Balance,-,-,02117415385769672704
2025/10/24 09:05:35,-,"500,000",-,-,-,-,Top-Up,PayPay,スルガ銀行 *****55,-,-,02117414878965727245
2025/10/24 06:10:54,"91,820",-,-,-,-,-,Bank Transfer,PayPay銀行 *****87,PayPay Balance,-,-,02117324847858737152
2025/10/24 05:30:58,-,"90,000",-,-,-,JP,Money Received,ハナノトウ,PayPay Balance,-,-,02117304266377519109
2025/10/24 02:20:15,16,-,-,-,-,-,Invested,PayPayポイント運用,PayPay Point,-,-,04828354259687538688
2025/10/24 00:42:52,164,-,-,-,-,-,Invested,PayPayポイント運用,PayPay Point,-,-,04828304068699643905
2025/10/23 17:15:34,-,4,-,-,-,-,"Points, Balance Earned",ビッグエー6220せんげん台駅東口,PayPay Point,-,-,04828073523445243907
2025/10/23 17:15:34,213,-,-,-,-,-,Payment,ビッグエー6220せんげん台駅東口,Credit Mastercard 5298,-,-,04828073523445243907
2025/10/23 16:00:21,"2,054",-,-,-,-,-,Payment,フクシマヤ ロツポンギテン,PayPay Card Gold Mastercard 5298,One-time Payment,Personal Use,PPCD_A_2025102316002100134801
2025/10/23 14:48:58,-,28,-,-,-,-,"Points, Balance Earned",スターバックス コーヒー,PayPay Point,-,-,PPCD_A_2025101710272700706150
2025/10/23 14:39:30,-,16,-,-,-,-,"Points, Balance Earned",オーケー コシガヤオオドマリテン,PayPay Point,-,-,PPCD_A_2025101917475100411036
2025/10/23 11:39:06,-,24,-,-,-,-,"Points, Balance Earned",P4,PayPay Point,-,-,04827900109846085634
2025/10/23 11:39:05,"1,300",-,-,-,-,-,Payment,P4 - ロータスパレス赤坂,Credit Mastercard 5298,-,-,04827900109846085634
2025/10/23 10:20:44,129,-,-,-,-,-,Invested,PayPayポイント運用,PayPay Point,-,-,04827859719973363716
2025/10/23 08:39:38,900,-,-,-,-,-,Payment,APPLE COM BILL,PayPay Card Gold Mastercard 5298,One-time Payment,Personal Use,PPCD_A_2025102308393800241994
2025/10/23 08:11:48,"5,000",-,-,-,-,-,Payment,モバイルＰＡＳＭＯチャージ,PayPay Card Gold Mastercard 5298,One-time Payment,Personal Use,PPCD_A_2025102308114800178434
2025/10/23 03:27:38,14,-,-,-,-,-,Invested,PayPayポイント運用,PayPay Point,-,-,04827646809854763010
2025/10/23 02:32:02,80,-,-,-,-,-,Invested,PayPayポイント運用,PayPay Point,-,-,04827618162422874112
2025/10/23 01:45:28,-,559,-,-,-,-,"Points, Balance Earned",Yahoo!ショッピング,PayPay Point,-,-,lp-102895974642327552-c_de15c4df-0d63-40d7-ae57-f1fb9c0240a7_sppf
2025/10/23 00:20:44,-,24,-,-,-,-,"Points, Balance Earned",PayPayほけん,PayPay Point,-,-,04827550490917879808
2025/10/23 00:20:44,"1,300",-,-,-,-,-,Payment,PayPayほけん,Credit Mastercard 5298,-,-,04827550490917879808
2025/10/23 00:03:23,24,-,-,-,-,-,Invested,PayPayポイント運用,PayPay Point,-,-,04827541548795740160
2025/10/22 16:49:32,-,100,-,-,-,-,"Points, Balance Earned",モバイルＰＡＳＭＯチャージ,PayPay Point,-,-,PPCD_A_2025101710581400113971
2025/10/22 16:42:39,-,20,-,-,-,-,"Points, Balance Earned",APPLE COM BILL,PayPay Point,-,-,PPCD_A_2025101909000400160474
2025/10/22 15:27:10,"2,028",-,-,-,-,-,Payment,フクシマヤ ロツポンギテン,PayPay Card Gold Mastercard 5298,One-time Payment,Personal Use,PPCD_A_2025102215271000031745
2025/10/22 14:10:11,-,128,-,-,-,-,"Points, Balance Earned",エイチアンドエムオンライン,PayPay Point,-,-,PPCD_A_2025101606513600460371
2025/10/22 14:08:18,-,24,-,-,-,-,"Points, Balance Earned",フクシマヤ ロツポンギテン,PayPay Point,-,-,PPCD_A_2025101713221200217919
2025/10/22 13:01:45,-,28,-,-,-,-,"Points, Balance Earned",麻布台ヒルズ,PayPay Point,-,-,04827200536980758529
2025/10/22 13:01:45,"1,400",-,-,-,-,-,Payment,麻布台ヒルズ - 麻布台ヒルズ,Credit Mastercard 5298,-,-,04827200536980758529
2025/10/22 07:29:05,906,-,-,-,-,-,Invested,PayPayポイント運用,PayPay Point,-,-,04827029081886547969
2025/10/22 01:38:42,-,279,-,-,-,-,"Points, Balance Earned",Yahoo!ショッピング,PayPay Point,-,-,lp-102895974642327552-c_965c674d-1483-47e3-aca9-957129f38e33_sppf
2025/10/22 01:03:57,-,430,-,-,-,-,"Points, Balance Earned",Yahoo!ショッピング,PayPay Point,-,-,lp-102895974642327552-c_0a99b91d-b1b3-4513-af68-2ddf69f3645b_sppf
2025/10/22 00:52:07,"3,656",-,-,-,-,-,Invested,PayPayポイント運用,PayPay Point,-,-,04826824486824992768
2025/10/21 17:08:54,50,-,-,-,-,-,Payment,御代の台薬局 - みよの台薬局 千間台店,Credit Mastercard 5298,-,-,04826585746772901892
2025/10/21 15:08:15,"1,183",-,-,-,-,-,Payment,フクシマヤ ロツポンギテン,PayPay Card Gold Mastercard 5298,One-time Payment,Personal Use,PPCD_A_2025102115081500559205
2025/10/21 11:25:40,"1,940",-,-,-,-,-,Payment,Ｇｕｚｍａｎ　ｙ　Ｇｏｍｅｚ　赤／ＮＦＣ,PayPay Card Gold Mastercard 5298,One-time Payment,Personal Use,PPCD_A_2025102111254000242477
2025/10/21 01:49:12,"3,720",-,-,-,-,-,Invested,PayPayポイント運用,PayPay Point,-,-,04826111745591640066
2025/10/20 15:05:43,-,44,-,-,-,-,"Points, Balance Earned",フクシマヤ ロツポンギテン,PayPay Point,-,-,PPCD_A_2025101616035800782307
2025/10/20 12:28:59,-,20,-,-,-,-,"Points, Balance Earned",青松,PayPay Point,-,-,04825699308471975937
2025/10/20 12:28:59,"1,100",-,-,-,-,-,Payment,青松 - 青松本館,Credit Mastercard 5298,-,-,04825699308471975937
2025/10/20 11:45:15,980,-,-,-,-,-,Payment,ヤクルト届けてネット（埼玉東部）,PayPay Card Gold Mastercard 5298,One-time Payment,Personal Use,PPCD_A_2025102011451500986831
2025/10/19 17:47:51,911,-,-,-,-,-,Payment,オーケー コシガヤオオドマリテン,PayPay Card Gold Mastercard 5298,One-time Payment,Personal Use,PPCD_A_2025101917475100411036
2025/10/19 16:54:59,-,108,-,-,-,-,"Points, Balance Earned",Vietcook,PayPay Point,-,-,04825094242068799491
2025/10/19 16:54:59,"5,575",-,-,-,-,-,Payment,Vietcook - KATSUTADAI,Credit Mastercard 5298,-,-,04825094242068799491
2025/10/19 15:51:14,-,36,-,-,-,-,"Points, Balance Earned",イオンリテール,PayPay Point,-,-,04825061385568813056
2025/10/19 15:51:14,"1,933",-,-,-,-,-,Payment,イオンリテール - イオンスタイルレイクタウン,Credit Mastercard 5298,-,-,04825061385568813056
2025/10/19 15:28:28,-,56,-,-,-,-,"Points, Balance Earned",ブランシェス,PayPay Point,-,-,04825049643128283140
2025/10/19 15:28:27,"2,915",-,-,-,-,-,Payment,ブランシェス - イオンレイクタウンmori,Credit Mastercard 5298,-,-,04825049643128283140
2025/10/19 15:07:48,-,56,-,-,-,-,"Points, Balance Earned",イオンリテール,PayPay Point,-,-,04825038991610273804
2025/10/19 15:07:48,"2,966",-,-,-,-,-,Payment,イオンリテール - イオンレイクタウンmori,Credit Mastercard 5298,-,-,04825038991610273804
2025/10/19 15:03:46,-,16,-,-,-,-,"Points, Balance Earned",ヤクルト届けてネット（埼玉東部）,PayPay Point,-,-,PPCD_A_2025101311464200186668
2025/10/19 11:17:25,-,24,-,-,-,-,"Points, Balance Earned",イオンリテール,PayPay Point,-,-,04824920252944646150
2025/10/19 11:17:25,"1,309",-,-,-,-,-,Payment,イオンリテール - イオンレイクタウンmori,Credit Mastercard 5298,-,-,04824920252944646150
2025/10/19 09:00:04,"1,090",-,-,-,-,-,Payment,APPLE COM BILL,PayPay Card Gold Mastercard 5298,One-time Payment,Personal Use,PPCD_A_2025101909000400160474
2025/10/19 04:00:41,8,-,-,-,-,-,Invested,PayPayポイント運用,PayPay Point,-,-,04824695170888597504
2025/10/19 00:53:44,16,-,-,-,-,-,Invested,PayPayポイント運用,PayPay Point,-,-,04824598809001992194
2025/10/18 15:23:12,-,400,-,-,-,-,"Points, Balance Earned",R______**0091*,PayPay Point,-,-,PPCD_A_2025101513130600301189
2025/10/18 10:23:19,"1,758",-,-,-,-,-,Payment,ヨークフーズ - ヨークフーズせんげん台店,Credit Mastercard 5298,-,-,04824150199667531776
2025/10/18 10:23:19,-,32,-,-,-,-,"Points, Balance Earned",ヨークフーズ,PayPay Point,-,-,04824150199667531776
2025/10/18 02:38:51,-,170,-,-,-,-,"Points, Balance Earned",Yahoo!ショッピング,PayPay Point,-,-,lp-102895974642327552-c_63269f08-cf56-4bd8-a0c2-c10337c0bff6_6033004966583188175371141
2025/10/18 02:25:26,-,142,-,-,-,-,"Points, Balance Earned",Yahoo!ショッピング,PayPay Point,-,-,lp-102895974642327552-c_564df2cd-b7d8-457c-b0db-363763b5a721_7051348104583472177894215
2025/10/18 02:20:17,60,-,-,-,-,-,Invested,PayPayポイント運用,PayPay Point,-,-,04823901246183096320
2025/10/17 13:22:12,"1,382",-,-,-,-,-,Payment,フクシマヤ ロツポンギテン,PayPay Card Gold Mastercard 5298,One-time Payment,Personal Use,PPCD_A_2025101713221200217919
2025/10/17 10:58:14,"5,000",-,-,-,-,-,Payment,モバイルＰＡＳＭＯチャージ,PayPay Card Gold Mastercard 5298,One-time Payment,Personal Use,PPCD_A_2025101710581400113971
2025/10/17 10:27:27,"1,500",-,-,-,-,-,Payment,スターバックス コーヒー - スターバックスｅＧｉｆｔ／ＡＰ,PayPay Card Gold Mastercard 5298,One-time Payment,Personal Use,PPCD_A_2025101710272700706150
2025/10/17 04:33:15,12,-,-,-,-,-,Invested,PayPayポイント運用,PayPay Point,-,-,04823227614922072064
2025/10/17 02:15:39,24,-,-,-,-,-,Invested,PayPayポイント運用,PayPay Point,-,-,04823156687832866819
2025/10/17 00:48:53,103,-,-,-,-,-,Invested,PayPayポイント運用,PayPay Point,-,-,04823111977222938625
2025/10/16 20:16:43,-,4,-,-,-,-,"Points, Balance Earned",ＥＴＣカード売上,PayPay Point,-,-,PPCD_C_202510160700003052080928
2025/10/16 20:12:39,-,4,-,-,-,-,"Points, Balance Earned",ＥＴＣカード売上,PayPay Point,-,-,PPCD_C_202510160700003052080929
2025/10/16 20:10:07,-,8,-,-,-,-,"Points, Balance Earned",ＥＴＣカード売上,PayPay Point,-,-,PPCD_C_202510160700003052080931
2025/10/16 20:05:18,-,4,-,-,-,-,"Points, Balance Earned",ＥＴＣカード売上,PayPay Point,-,-,PPCD_C_202510160700003052080930
2025/10/16 20:04:36,-,4,-,-,-,-,"Points, Balance Earned",ＥＴＣカード売上,PayPay Point,-,-,PPCD_C_202510160700003052080932
2025/10/16 17:25:39,-,8,-,-,-,-,"Points, Balance Earned",ビッグエー6220せんげん台駅東口,PayPay Point,-,-,04822883527913005060
2025/10/16 17:25:38,516,-,-,-,-,-,Payment,ビッグエー6220せんげん台駅東口,Credit Mastercard 5298,-,-,04822883527913005060
2025/10/16 16:50:19,592,-,-,-,-,-,Payment,Merci life organics　北千住店,Credit Mastercard 5298,-,-,04822865317251694600
2025/10/16 16:50:19,-,8,-,-,-,-,"Points, Balance Earned",Merci life organics　北千住店,PayPay Point,-,-,04822865317251694600
2025/10/16 16:37:55,-,60,-,-,-,-,"Points, Balance Earned",ラクテンモバイルツウシンリョウ,PayPay Point,-,-,PPCD_A_2025101210391300122479
2025/10/16 16:31:56,-,40,-,-,-,-,"Points, Balance Earned",Ｓｕｉｃａ（ＧｏｏｇｌｅＰａｙ）,PayPay Point,-,-,PPCD_A_2025101207304500171167
2025/10/16 16:30:07,-,76,-,-,-,-,"Points, Balance Earned",ＭＹ内科クリニックせんげん台,PayPay Point,-,-,PPCD_A_2025101110032400904144
2025/10/16 16:24:24,-,48,-,-,-,-,"Points, Balance Earned",ジヤパンミートコシガヤテン,PayPay Point,-,-,PPCD_A_2025101210360300110775
2025/10/16 16:23:50,-,32,-,-,-,-,"Points, Balance Earned",ＭＹ内科クリニックせんげん台,PayPay Point,-,-,PPCD_A_2025101110040500310729
2025/10/16 16:03:58,"2,278",-,-,-,-,-,Payment,フクシマヤ ロツポンギテン,PayPay Card Gold Mastercard 5298,One-time Payment,Personal Use,PPCD_A_2025101616035800782307
2025/10/16 11:56:16,-,20,-,-,-,-,"Points, Balance Earned",森ビル,PayPay Point,-,-,04822713765034967043
2025/10/16 11:56:16,"1,050",-,-,-,-,-,Payment,森ビル - アークヒルズ,Credit Mastercard 5298,-,-,04822713765034967043
2025/10/16 06:51:36,"6,495",-,-,-,-,-,Payment,エイチアンドエムオンライン,PayPay Card Gold Mastercard 5298,One-time Payment,Personal Use,PPCD_A_2025101606513600460371
2025/10/16 00:47:25,112,-,-,-,-,-,Invested,PayPayポイント運用,PayPay Point,-,-,04822369042370535427
2025/10/15 16:05:15,-,100,-,-,-,-,"Points, Balance Earned",モバイルＰＡＳＭＯチャージ,PayPay Point,-,-,PPCD_A_2025100909410400313846
2025/10/15 15:51:07,-,80,-,-,-,-,"Points, Balance Earned",TEMU,PayPay Point,-,-,04822092635454504964
2025/10/15 15:51:06,"4,008",-,-,-,-,-,Payment,TEMU,Credit Mastercard 5298,-,-,04822092635454504964
2025/10/15 13:13:06,"20,000",-,-,-,-,-,Payment,R______**0091*,PayPay Card Gold Mastercard 5298,One-time Payment,Personal Use,PPCD_A_2025101513130600301189
2025/10/15 12:53:12,-,8,-,-,-,-,"Points, Balance Earned",ヤマト運輸,PayPay Point,-,-,04822000946493145092
2025/10/15 12:53:12,439,-,-,-,-,-,Payment,ヤマト運輸 - 越谷船渡営業所（越谷船渡）,Credit Mastercard 5298,-,-,04822000946493145092
2025/10/15 02:37:01,44,-,-,-,-,-,Invested,PayPayポイント運用,PayPay Point,-,-,04821683368020885506
2025/10/14 19:45:10,-,304,-,-,-,-,"Points, Balance Earned",焼肉レストラン 安楽亭,PayPay Point,-,-,04821471093556002821
2025/10/14 19:45:10,"15,336",-,-,-,-,-,Payment,焼肉レストラン 安楽亭 - 下間久里店,Credit Mastercard 5298,-,-,04821471093556002821
2025/10/14 14:26:35,-,128,-,-,-,-,"Points, Balance Earned",エイチアンドエムオンライン,PayPay Point,-,-,PPCD_A_2025100820035800252573
2025/10/14 12:48:43,-,570,-,-,-,JP,Money Received,グエン・バック,PayPay Balance,-,-,02110108186110107649
2025/10/14 11:55:48,-,36,-,-,-,-,"Points, Balance Earned",森ビル,PayPay Point,-,-,04821229183818137602
2025/10/14 11:55:48,"1,980",-,-,-,-,-,Payment,森ビル - アークヒルズ,Credit Mastercard 5298,-,-,04821229183818137602
2025/10/14 02:18:32,-,153,-,-,-,-,"Points, Balance Earned",Yahoo!ショッピング,PayPay Point,-,-,04819520224920125443
2025/10/14 01:27:35,512,-,-,-,-,-,Invested,PayPayポイント運用,PayPay Point,-,-,04820905412003880960
2025/10/13 15:02:09,-,16,-,-,-,-,"Points, Balance Earned",Ｍｅｒｃｉ　ｌｉｆｅ　ｏｒｇａｎｉｃｓ,PayPay Point,-,-,PPCD_A_2025100916482100664494
2025/10/13 14:51:24,-,52,-,-,-,-,"Points, Balance Earned",フクシマヤ ロツポンギテン,PayPay Point,-,-,PPCD_A_2025100916065800538796
2025/10/13 11:46:42,980,-,-,-,-,-,Payment,ヤクルト届けてネット（埼玉東部）,PayPay Card Gold Mastercard 5298,One-time Payment,Personal Use,PPCD_A_2025101311464200186668
2025/10/13 11:35:48,"1,750",-,-,-,-,-,Money Sent,Hue Tran,PayPay Balance,-,-,02109328434798714884
2025/10/13 11:35:46,-,"3,000",-,-,-,-,Top-Up,PayPay,スルガ銀行 *****55,-,-,02109328417618378754
2025/10/13 10:00:09,-,100,-,-,-,-,"Points, Balance Earned",Yahoo!ズバトク,PayPay Point,-,-,lp-121904701032398848-c_3b227637-af8e-4cd7-a0ed-bb11f9a4dc5f
2025/10/13 01:27:37,52,-,-,-,-,-,Invested,PayPayポイント運用,PayPay Point,-,-,04820163258834903041
